type,sex,version,age,1 mile,5k,6k,4 miles,8k,5 miles,10k,12k,15k,10 miles,20k,half marathon,25k,30k,marathon,50k,50 miles,100k,150k,100 miles,200k
road,male,2020,80,364,1245,1500,1610,2006,2017,2514,3058,3885,4189,5276,5572,6685,8128,11688,14363,25749,34203,58127,63811,84548
road,male,2020,81,374,1276,1537,1649,2055,2066,2573,3131,3978,4291,5405,5708,6851,8329,11975,14717,26382,35045,59557,65381,86628
road,male,2020,82,384,1309,1577,1692,2108,2119,2638,3211,4081,4401,5547,5858,7033,8551,12294,15109,27084,35978,61142,67121,88934
road,male,2020,83,394,1346,1621,1740,2166,2178,2710,3300,4194,4524,5703,6024,7235,8796,12643,15538,27854,37000,62879,69028,91460
road,male,2020,84,406,1387,1670,1792,2230,2242,2789,3396,4318,4659,5875,6206,7458,9068,13032,16015,28709,38136,64810,71148,94269
road,male,2020,85,420,1432,1724,1849,2301,2313,2876,3503,4457,4809,6066,6408,7705,9368,13462,16544,29657,39395,66949,73497,97381
road,male,2020,86,434,1482,1783,1913,2379,2392,2972,3622,4609,4974,6277,6632,7979,9701,13937,17128,30705,40787,69314,76093,100821
road,male,2020,87,450,1536,1849,1983,2466,2479,3080,3754,4780,5159,6513,6882,8287,10076,14471,17784,31879,42347,71967,79005,104679
road,male,2020,88,468,1598,1923,2062,2563,2576,3199,3902,4970,5365,6776,7161,8630,10493,15065,18514,33189,44087,74923,82250,108978
road,male,2020,89,489,1666,2004,2150,2671,2685,3333,4067,5183,5596,7071,7475,9016,10962,15737,19340,34670,46054,78266,85921,113842
road,male,2020,90,511,1742,2097,2248,2793,2808,3484,4253,5424,5857,7406,7830,9456,11497,16499,20276,36347,48282,82052,90077,119349
road,male,2020,91,537,1829,2200,2360,2931,2947,3655,4464,5697,6153,7786,8231,9955,12103,17362,21337,38249,50809,86346,94791,125595
road,male,2020,92,566,1928,2319,2487,3088,3105,3849,4705,6009,6491,8220,8694,10528,12800,18358,22560,40443,53722,91298,100226,132797
road,male,2020,93,600,2041,2455,2633,3269,3287,4073,4982,6369,6881,8723,9226,11192,13607,19506,23971,42972,57082,97007,106494,141101
road,male,2020,94,639,2171,2613,2802,3478,3497,4331,5303,6786,7334,9306,9847,11972,14556,20854,25629,45943,61029,103714,113857,150857
road,male,2020,95,684,2324,2798,2999,3723,3743,4634,5679,7276,7869,9997,10581,12894,15677,22452,27592,49462,65703,111658,122578,162412
road,male,2020,96,738,2505,3016,3233,4013,4034,4994,6126,7861,8506,10820,11454,14003,17025,24362,29940,53672,71295,121162,133011,176235
road,male,2020,97,804,2721,3278,3516,4363,4386,5427,6666,8568,9276,11821,12522,15365,18681,26707,32821,58836,78156,132821,145810,193194
road,male,2020,98,883,2986,3600,3861,4790,4815,5955,7329,9442,10226,13061,13841,17062,20745,29623,36404,65260,86688,147321,161729,214286
road,male,2020,99,983,3316,3999,4290,5326,5354,6617,8162,10541,11428,14638,15526,19243,23396,33374,41015,73525,97668,165981,182213,241427
road,male,2020,100,1112,3739,4516,4843,6014,6045,7468,9236,11971,12995,16699,17733,22157,26939,38355,47136,84498,112244,190751,209406,277457
