type,sex,version,age,1 mile,5k,6k,4 miles,8k,5 miles,10k,7 miles,12k,15k,10 miles,20k,half marathon,25k,30k,marathon,50k,50 miles,100k,150k,100 miles,200k
road,male,2025,84,480,1384,1664,1785,2225,2240,2789,3163,3391,4306,4638,5866,6221,7397,8949,12959,15798,28802,38259,65019,71270,94573
road,male,2025,85,503,1428,1717,1842,2295,2311,2876,3263,3498,4445,4788,6059,6426,7641,9241,13381,16312,29739,39504,67135,73590,97651
road,male,2025,86,530,1477,1775,1904,2373,2389,2972,3374,3617,4599,4954,6274,6654,7911,9568,13852,16887,30787,40896,69500,76182,101091
road,male,2025,87,561,1532,1840,1974,2459,2476,3080,3496,3750,4770,5140,6511,6908,8212,9930,14375,17524,31949,42440,72124,79058,104908
road,male,2025,88,597,1592,1913,2052,2555,2573,3199,3633,3897,4961,5346,6778,7191,8548,10338,14964,18242,33257,44178,75078,82296,109204
road,male,2025,89,640,1660,1994,2139,2663,2681,3333,3787,4062,5175,5578,7078,7510,8927,10796,15623,19046,34723,46124,78385,85921,114014
road,male,2025,90,691,1736,2085,2236,2784,2803,3484,3960,4250,5417,5841,7416,7872,9356,11313,16372,19959,36388,48337,82145,90043,119484
road,male,2025,91,752,1822,2188,2346,2921,2941,3655,4156,4461,5692,6138,7801,8282,9844,11902,17222,20995,38277,50845,86408,94716,125684
road,male,2025,92,828,1920,2305,2472,3076,3097,3849,4380,4702,6006,6479,8245,8754,10405,12579,18201,22189,40453,53736,91321,100101,132830
road,male,2025,93,924,2032,2440,2616,3256,3278,4073,4636,4979,6369,6872,8754,9299,11051,13362,19329,23564,42960,57067,96981,106305,141063
road,male,2025,94,1048,2163,2596,2783,3463,3487,4331,4934,5302,6789,7331,9352,9937,11810,14278,20654,25178,45904,60976,103625,113588,150728
road,male,2025,95,1217,2314,2778,2978,3705,3731,4634,5283,5679,7285,7871,10056,10691,12705,15356,22214,27080,49371,65582,111452,122168,162112
road,male,2025,96,1457,2494,2993,3209,3992,4020,4994,5699,6130,7877,8517,10903,11596,13778,16656,24093,29371,53546,71129,120879,132501,175824
road,male,2025,97,1828,2709,3252,3487,4338,4368,5427,6200,6672,8594,9298,11933,12697,15088,18235,26376,32155,58622,77871,132337,145060,192490
road,male,2025,98,2471,2971,3567,3826,4759,4793,5955,6814,7340,9482,10269,13214,14074,16721,20211,29232,35636,64970,86303,146667,160768,213333
road,male,2025,99,3860,3300,3963,4250,5289,5324,6617,7585,8177,10601,11492,14852,15830,18810,22729,32871,40073,73058,97047,164925,180781,239891
road,male,2025,100,9134,3720,4469,4792,5965,6008,7468,8581,9265,12063,13099,17006,18154,21575,26073,37702,45961,83794,111308,189161,207348,275143
