type,sex,version,age,1 mile,5k,6k,4 miles,8k,5 miles,10k,12k,15k,10 miles,20k,half marathon,25k,30k,marathon,50k,50 miles,100k,150k,100 miles,200k
road,female,2020,63,330,1152,1391,1496,1877,1888,2368,2873,3645,3921,4929,5173,6212,7543,10821,13156,23890,31734,53403,58515,77482
road,female,2020,64,334,1167,1409,1515,1902,1913,2399,2912,3695,3975,4998,5246,6301,7654,10985,13355,24252,32215,54213,59402,78656
road,female,2020,65,338,1182,1427,1535,1927,1938,2432,2952,3747,4030,5069,5321,6392,7767,11152,13559,24622,32706,55040,60308,79856
road,female,2020,66,343,1197,1446,1556,1953,1964,2465,2993,3800,4088,5143,5398,6487,7884,11326,13771,25007,33217,55900,61250,81104
road,female,2020,67,347,1213,1466,1577,1980,1991,2500,3035,3854,4147,5218,5478,6584,8005,11505,13987,25400,33740,56779,62214,82380
road,female,2020,68,352,1230,1486,1598,2007,2019,2535,3079,3910,4207,5296,5559,6684,8129,11690,14213,25810,34284,57695,63218,83709
road,female,2020,69,357,1246,1506,1620,2036,2048,2571,3124,3968,4270,5376,5644,6788,8257,11882,14446,26233,34846,58641,64254,85081
road,female,2020,70,362,1264,1527,1643,2065,2077,2609,3170,4027,4334,5458,5731,6893,8389,12078,14685,26667,35422,59610,65315,86486
road,female,2020,71,367,1282,1549,1667,2095,2107,2647,3217,4089,4401,5543,5820,7004,8525,12283,14934,27119,36022,60620,66422,87952
road,female,2020,72,372,1300,1572,1691,2126,2138,2687,3266,4152,4469,5631,5913,7118,8667,12493,15189,27582,36638,61656,67557,89455
road,female,2020,73,377,1319,1595,1716,2158,2170,2728,3316,4217,4540,5721,6008,7234,8812,12712,15455,28066,37280,62737,68742,91024
road,female,2020,74,383,1338,1618,1742,2190,2203,2770,3369,4285,4612,5815,6107,7356,8963,12939,15731,28567,37946,63857,69969,92649
road,female,2020,75,389,1358,1643,1768,2224,2237,2814,3422,4354,4688,5912,6209,7480,9120,13180,16025,29100,38655,65050,71276,94380
road,female,2020,76,395,1379,1668,1796,2259,2272,2860,3479,4427,4767,6011,6314,7612,9288,13452,16355,29699,39450,66388,72742,96321
road,female,2020,77,401,1400,1694,1824,2296,2310,2912,3542,4507,4852,6119,6428,7757,9474,13750,16718,30359,40326,67863,74359,98462
road,female,2020,78,407,1422,1721,1853,2338,2352,2969,3612,4596,4949,6240,6554,7919,9683,14085,17125,31098,41308,69515,76169,100858
road,female,2020,79,413,1444,1751,1887,2384,2399,3033,3689,4695,5055,6375,6696,8099,9915,14457,17577,31919,42399,71352,78181,103523
road,female,2020,80,421,1470,1785,1924,2436,2450,3104,3776,4805,5173,6525,6854,8299,10174,14869,18078,32828,43606,73383,80407,106470
road,female,2020,81,429,1499,1823,1967,2493,2508,3182,3871,4927,5305,6692,7029,8522,10461,15331,18639,33848,44961,75662,82905,109777
road,female,2020,82,438,1532,1865,2013,2557,2572,3269,3977,5063,5452,6878,7223,8770,10780,15844,19263,34981,46466,78196,85681,113453
road,female,2020,83,449,1568,1913,2066,2628,2644,3365,4095,5213,5614,7084,7441,9047,11139,16423,19967,36260,48165,81053,88812,117599
road,female,2020,84,461,1609,1966,2125,2708,2725,3472,4227,5383,5797,7316,7685,9357,11541,17075,20760,37699,50076,84271,92337,122267
road,female,2020,85,474,1655,2026,2191,2797,2814,3593,4373,5571,6000,7574,7957,9705,11994,17808,21652,39318,52227,87890,96303,127518
road,female,2020,86,489,1708,2093,2265,2897,2915,3727,4539,5783,6229,7866,8264,10098,12506,18646,22670,41168,54685,92026,100834,133519
road,female,2020,87,506,1767,2169,2349,3009,3028,3879,4724,6023,6487,8195,8610,10543,13084,19600,23830,43275,57483,96735,105994,140351
road,female,2020,88,525,1833,2255,2443,3136,3157,4050,4935,6295,6780,8569,9004,11050,13750,20705,25174,45714,60723,102188,111969,148263
road,female,2020,89,546,1908,2353,2550,3281,3303,4244,5175,6603,7115,8996,9455,11632,14516,21990,26736,48551,64492,108529,118917,157463
road,female,2020,90,571,1995,2464,2674,3446,3469,4468,5449,6958,7500,9488,9972,12304,15407,23493,28563,51869,68899,115946,127044,168224
road,female,2020,91,599,2094,2592,2815,3637,3661,4724,5768,7368,7944,10057,10574,13089,16447,25288,30745,55831,74162,124804,136749,181075
road,female,2020,92,632,2209,2741,2978,3859,3884,5024,6136,7848,8463,10724,11276,14010,17689,27445,33367,60594,80488,135449,148414,196520
road,female,2020,93,671,2343,2914,3170,4118,4146,5375,6573,8415,9077,11513,12112,15114,19185,30105,36602,66467,88290,148578,162799,215569
road,female,2020,94,716,2501,3119,3397,4427,4458,5795,7094,9095,9813,12462,13113,16454,21012,33447,40665,73846,98091,165073,180873,239501
road,female,2020,95,769,2689,3365,3669,4799,4833,6303,7725,9920,10710,13626,14337,18111,23311,37748,45894,83341,110704,186298,204130,270296
road,female,2020,96,835,2917,3665,4001,5255,5292,6927,8504,10944,11826,15074,15871,20209,26273,43528,52922,96104,127657,214827,235390,311688
road,female,2020,97,915,3198,4036,4413,5825,5868,7715,9490,12248,13243,16927,17830,22948,30209,51630,62773,113992,151418,254814,279204,369705
road,female,2020,98,1016,3552,4508,4941,6562,6608,8736,10778,13961,15108,19380,20438,26667,35737,63892,77681,141064,187379,315330,345512,457506
road,female,2020,99,1148,4011,5125,5635,7544,7598,10113,12529,16299,17668,22778,24043,31978,44014,84496,102731,186555,247805,417017,456933,605042
road,female,2020,100,1325,4631,5973,6586,8910,8982,12072,15031,19690,21397,27765,29370,40243,57692,126082,153292,278370,369765,622257,681818,902821
