type,sex,version,age,1 mile,5k,6k,4 miles,8k,5 miles,10k,7 miles,12k,15k,10 miles,20k,half marathon,25k,30k,marathon,50k,50 miles,100k,150k,100 miles,200k
road,female,2025,74,380,1332,1601,1718,2139,2154,2681,3042,3258,4143,4474,5663,6017,7138,8594,12157,14642,26665,36786,61906,67831,89818
road,female,2025,75,386,1353,1626,1745,2173,2188,2724,3090,3311,4210,4548,5758,6118,7263,8751,12394,14928,27186,37506,63116,69157,91574
road,female,2025,76,392,1375,1653,1774,2209,2224,2769,3142,3366,4282,4626,5858,6225,7398,8920,12658,15246,27764,38303,64459,70628,93522
road,female,2025,77,398,1397,1681,1804,2247,2263,2819,3199,3428,4363,4712,5970,6345,7545,9108,12948,15595,28401,39181,65936,72247,95665
road,female,2025,78,404,1421,1711,1837,2290,2306,2874,3263,3497,4451,4810,6096,6479,7712,9319,13272,15986,29111,40162,67586,74055,98059
road,female,2025,79,410,1448,1744,1873,2337,2354,2936,3334,3573,4551,4917,6235,6627,7896,9551,13629,16416,29895,41243,69406,76049,100699
road,female,2025,80,417,1479,1782,1914,2390,2407,3004,3412,3657,4661,5036,6388,6792,8101,9809,14029,16898,30772,42453,71441,78280,103653
road,female,2025,81,425,1512,1824,1960,2448,2466,3080,3499,3751,4783,5170,6562,6976,8330,10100,14475,17434,31749,43801,73710,80765,106944
road,female,2025,82,435,1550,1870,2010,2513,2531,3164,3596,3855,4919,5317,6753,7181,8585,10421,14969,18030,32834,45298,76229,83525,110599
road,female,2025,83,445,1591,1921,2065,2585,2604,3257,3703,3971,5069,5482,6966,7409,8869,10781,15527,18701,34057,46985,79068,86636,114718
road,female,2025,84,457,1637,1978,2128,2665,2684,3361,3823,4100,5238,5665,7206,7665,9187,11184,16151,19453,35426,48873,82246,90118,119329
road,female,2025,85,470,1689,2042,2197,2755,2775,3478,3957,4245,5428,5873,7476,7954,9548,11640,16860,20307,36981,51019,85856,94074,124567
road,female,2025,86,484,1747,2114,2275,2855,2876,3608,4107,4408,5642,6105,7780,8279,9954,12157,17666,21278,38749,53458,89961,98572,130523
road,female,2025,87,501,1811,2195,2363,2968,2990,3755,4277,4590,5883,6368,8123,8647,10414,12743,18584,22384,40763,56236,94636,103695,137306
road,female,2025,88,519,1884,2285,2460,3095,3118,3920,4468,4799,6157,6668,8518,9069,10944,13417,19647,23664,43095,59453,100050,109627,145161
road,female,2025,89,541,1967,2388,2572,3239,3264,4109,4686,5035,6469,7010,8966,9552,11550,14193,20878,25147,45795,63179,106320,116497,154258
road,female,2025,90,565,2061,2505,2700,3405,3431,4325,4937,5305,6829,7404,9485,10110,12255,15101,22332,26898,48983,67577,113721,124606,164996
road,female,2025,91,593,2169,2640,2846,3595,3622,4573,5226,5620,7248,7862,10097,10765,13085,16172,24062,28981,52778,72812,122531,134259,177778
road,female,2025,92,625,2294,2795,3016,3816,3845,4863,5565,5987,7739,8401,10812,11535,14067,17446,26144,31489,57344,79111,133132,145875,193159
road,female,2025,93,662,2439,2978,3214,4075,4106,5203,5961,6420,8320,9039,11666,12457,15249,18996,28715,34586,62983,86891,146225,160221,212155
road,female,2025,94,706,2610,3192,3449,4382,4416,5609,6438,6937,9019,9813,12708,13578,16698,20905,31938,38468,70053,96645,162638,178206,235969
road,female,2025,95,758,2814,3449,3729,4753,4789,6101,7014,7570,9880,10764,13998,14974,18511,23330,36126,43513,79240,109319,183967,201576,266914
road,female,2025,96,822,3061,3762,4071,5204,5246,6706,7729,8349,10954,11954,15628,16742,20853,26495,41757,50295,91591,126358,212641,232994,308516
road,female,2025,97,899,3366,4150,4497,5772,5819,7469,8636,9345,12337,13492,17758,19060,23949,30774,49688,59847,108987,150357,253027,277247,367113
road,female,2025,98,997,3752,4644,5039,6500,6554,8457,9819,10649,14180,15552,20668,22241,28302,36924,61775,74406,135499,186933,314580,344691,456418
road,female,2025,99,1123,4253,5291,5754,7471,7534,9790,11430,12434,16756,18450,24839,26828,34776,46462,82236,99051,180380,248850,418776,458861,607595
road,female,2025,100,1292,4929,6177,6735,8829,8905,12172,13752,15025,20587,22802,31367,34043,45455,63152,124736,150240,273600,377456,635200,696000,921600
